t,open,high,low,close,volume
1752988200000,117859.3,117894.2,117858.3,117894.1,262969.79755608
1752987900000,117940.2,117944,117849.8,117859.2,582062.574088334
1752987600000,117952.4,117985.9,117930,117940.2,452186.428171963
1752987300000,117985.9,117994.2,117940,117952.4,428231.25755018
1752987000000,117955.3,118010,117950.1,117986,617491.966047215
1752986700000,117945,117996,117944.9,117954,324348.210577974
1752986400000,117968,117985,117940,117944.9,289128.668003634
1752986100000,118056.1,118059.9,117968,117968.1,1172793.615118642
1752985800000,118083.2,118139.8,118056.2,118056.2,1820749.904467829
1752985500000,118063,118083.3,118063,118083.2,194903.918842055
1752985200000,117939.6,118088,117928.1,118063,747882.777758178
1752984900000,117925.9,117956,117891.7,117939.6,150139.606438267
1752984600000,117912.1,117980,117900,117926,691745.942494622
1752984300000,117911.6,117973.9,117911.6,117912.1,352243.045221457
1752984000000,117969.5,117989,117898.1,117911.5,465662.075889444
1752983700000,117964,117990,117925.2,117969.5,667367.536382101
1752983400000,117999.4,117999.5,117927.2,117964,383963.88399029
1752983100000,118001.4,118001.5,117936,117999.4,603888.053153633
1752982800000,118140,118150,117954,118002,964557.630788081
1752982500000,117986.1,118166.9,117986.1,118137.8,2626645.987558711
1752982200000,117901.9,118050.2,117901.8,117987.2,1386205.142372012
1752981900000,117963.3,117964,117700.8,117901.8,3612759.012150202
1752981600000,117982.7,118004,117963.3,117963.4,299372.698557853
1752981300000,117990.9,117999.6,117963.3,117982.7,308794.986271678
1752981000000,118015,118019.9,117990.8,117990.8,320186.094963276
1752980700000,118049.9,118063.9,118015.1,118015.1,424971.511303708
1752980400000,117992.1,118109,117992,118050.1,693274.721068973
1752980100000,117993.9,117994,117952,117992.1,510670.003555082
1752979800000,117971.1,117996,117916,117994,281465.190261625
1752979500000,117885,118018.4,117876.1,117971.1,978099.06233183
1752979200000,117897,117897.9,117876.1,117884.9,199780.792111411
1752978900000,117920,117920,117874.4,117899.8,377769.69298401
1752978600000,117803.5,117920,117772.1,117920,397071.958926339
1752978300000,117907.6,117907.6,117803.5,117803.5,352732.981348328
1752978000000,117880.1,117933.7,117862,117907.7,259603.029499667
1752977700000,117902,117953.1,117880,117880,2041231.040949257
1752977400000,117841.7,117916,117814.8,117902,201510.606938489
1752977100000,117902.8,117902.9,117818.6,117841.7,326980.31982783
1752976800000,117946.1,117957.8,117838,117902.8,906056.703820585
1752976500000,117944,117976,117919.1,117946,378208.152573458
1752976200000,118009,118049.9,117944,117944.1,774589.090028879
1752975900000,118005.1,118043.4,118005.1,118009.1,1358311.957245046
1752975600000,117985.1,118061.3,117985.1,118005,335117.145982811
1752975300000,118049.9,118052,117955,117986,395995.617644874
